# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
SLC6A6		Sodium- and chloride-dependent taurine transporter	
SLC6A7		Sodium-dependent proline transporter	PROT
SHANK3		SH3 and multiple ankyrin repeat domains protein 3	PROSAP2,PSAP2
RTN4R		Reticulon-4 receptor	NOGOR
MTHFR		Methylenetetrahydrofolate reductase	
DRD4		Dopamine receptor D4	
HTR1A		5-hydroxytryptamine receptor 1A	ADRB2RL1,ADRBRL1
HTR2A		5-hydroxytryptamine receptor 2A	HTR2
HTR4		5-hydroxytryptamine receptor 4	
HTR2C		5-hydroxytryptamine receptor 2C	HTR1C
HTR1B		5-hydroxytryptamine receptor 1B	HTR1DB
HTR5A		5-hydroxytryptamine receptor 5A	
HTR6		5-hydroxytryptamine receptor 6	
HTR3A		5-hydroxytryptamine receptor 3A	5HT3R,HTR3
HTR3B		5-hydroxytryptamine receptor 3B	
HTR7		5-hydroxytryptamine receptor 7	
HTR3E		5-hydroxytryptamine receptor 3E	
HTR3C		5-hydroxytryptamine receptor 3C	
HTR3D		5-hydroxytryptamine receptor 3D	
HTR2B		5-hydroxytryptamine receptor 2B	
HTR1F		5-hydroxytryptamine receptor 1F	HTR1EL
HTR1D		5-hydroxytryptamine receptor 1D	HTR1DA,HTRL
HTR1E		5-hydroxytryptamine receptor 1E	
SETD1A		Histone-lysine N-methyltransferase SETD1A	KMT2F,SET1,SET1A
RBM12		RNA-binding protein 12	HRIHFB2091
FES		Tyrosine-protein kinase Fes/Fps	FPS
SLC39A8		Metal cation symporter ZIP8	BIGM103,ZIP8,PP3105
NRXN1		Neurexin-1-beta	
RGS6		Regulator of G protein signaling 6	
GPM6A		Neuronal membrane glycoprotein M6-a	M6A
OPRM1		Mu-type opioid receptor	MOR1
OPRK1		Kappa-type opioid receptor	OPRK
TCF4		Transcription factor 4	BHLHB19,ITF2,SEF2
OPRD1		Delta-type opioid receptor	OPRD
TMTC1		Protein O-mannosyl-transferase TMTC1	ARG99
ZNF804A		Zinc finger protein 804A	C2orf10
PJA1		E3 ubiquitin-protein ligase Praja-1	RNF70
CSMD1		CUB and sushi domain-containing protein 1	
ESAM		Endothelial cell-selective adhesion molecule	
DRD5		Dopamine receptor D5	DRD1B,DRD1L2
ADRA1A		Alpha-1A adrenergic receptor	ADRA1C
ADRA1D		Alpha-1D adrenergic receptor	ADRA1A
ADRA1B		Alpha-1B adrenergic receptor	
CACNA1I		Voltage-dependent T-type calcium channel subunit alpha-1I	
DRD1		Dopamine receptor D1	
IGSF9B		Protein turtle homolog B	
CACNA1C		Voltage-dependent L-type calcium channel subunit alpha-1C	CACH2,CACN2,CACNL1A1,CCHL1A1
