# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
EXT2	exostosin glycosyltransferase 2	Exostosin-2
EYA2	EYA transcriptional coactivator and phosphatase 2	Protein phosphatase EYA2
EYA4	EYA transcriptional coactivator and phosphatase 4	Protein phosphatase EYA4
EYS	EGF-like photoreceptor maintenance factor	Protein eyes shut homolog
EZHIP	EZH inhibitory protein	EZH inhibitory protein
F11	coagulation factor XI	Coagulation factor XI
F3	coagulation factor III, tissue factor	Tissue factor
F5	coagulation factor V	Coagulation factor V
F9	coagulation factor IX	Coagulation factor IX
FAAH	fatty acid amide hydrolase	Fatty-acid amide hydrolase 1
FAAP20	FA core complex associated protein 20	Fanconi anemia core complex-associated protein 20
FABP12	fatty acid binding protein 12	Fatty acid-binding protein 12
FABP5	fatty acid binding protein 5	Fatty acid-binding protein 5
FAF1	Fas associated factor 1	FAS-associated factor 1
FAM111B	FAM111 trypsin like peptidase B	Serine protease FAM111B
FAM120A	family with sequence similarity 120 member A	Constitutive coactivator of PPAR-gamma-like protein 1
FAM120B	family with sequence similarity 120 member B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma
FAM120C	family with sequence similarity 120 member C	Constitutive coactivator of PPAR-gamma-like protein 2
FAM131A	family with sequence similarity 131 member A	Protein FAM131A
FAM149B1	family with sequence similarity 149 member B1	Primary cilium assembly protein FAM149B1
FAM161B	FAM161 centrosomal protein B	Protein FAM161B
FAM162B	family with sequence similarity 162 member B	Protein FAM162B
FAM163A	family with sequence similarity 163 member A	Protein FAM163A
FAM168A	family with sequence similarity 168 member A	Protein FAM168A
FAM170A	family with sequence similarity 170 member A	Protein FAM170A
FAM171A1	family with sequence similarity 171 member A1	Protein FAM171A1
FAM171A2	family with sequence similarity 171 member A2	Protein FAM171A2
FAM180B	family with sequence similarity 180 member B	Protein FAM180B
FAM184B	family with sequence similarity 184 member B	Protein FAM184B
FAM193A	family with sequence similarity 193 member A	Protein FAM193A
FAM209A	family with sequence similarity 209 member A	Protein FAM209A
FAM216A	family with sequence similarity 216 member A	Protein FAM216A
FAM217A	family with sequence similarity 217 member A	Protein FAM217A
FAM236C	family with sequence similarity 236 member C	Protein FAM236C
FAM3A	FAM3 metabolism regulating signaling molecule A	Protein FAM3A
FAM3C	FAM3 metabolism regulating signaling molecule C	Protein FAM3C
FAM3D	FAM3 metabolism regulating signaling molecule D	Protein FAM3D
FAM43A	family with sequence similarity 43 member A	Protein FAM43A
FAM47A	family with sequence similarity 47 member A	Protein FAM47A
FAM47E	family with sequence similarity 47 member E	Protein FAM47E
FAM76A	family with sequence similarity 76 member A	Protein FAM76A
FAM76B	family with sequence similarity 76 member B	Protein FAM76B
FAM81A	family with sequence similarity 81 member A	Protein FAM81A
FAM81B	family with sequence similarity 81 member B	Protein FAM81B
FAM89A	family with sequence similarity 89 member A	Protein FAM89A
FAM89B	family with sequence similarity 89 member B	Leucine repeat adapter protein 25
FAM90A24	family with sequence similarity 90 member A24	Protein FAM90A24
FAM90A9	family with sequence similarity 90 member A9	Protein FAM90A9
FAM9C	family with sequence similarity 9 member C	Protein FAM9C
FANCF	FA complementation group F	Fanconi anemia group F protein
FANCM	FA complementation group M	Fanconi anemia group M protein
FARSB	phenylalanyl-tRNA synthetase subunit beta	Phenylalanine--tRNA ligase beta subunit
FASTKD2	FASTK mitochondrial RNA regulator 2	FAST kinase domain-containing protein 2, mitochondrial
FAT3	FAT atypical cadherin 3	Protocadherin Fat 3
FBL	fibrillarin rRNA 2'-O-methyltransferase	rRNA 2'-O-methyltransferase fibrillarin
FBLN1	fibulin 1	Fibulin-1
FBLN5	fibulin 5	Fibulin-5
FBN2	fibrillin 2	Fibrillin-2 [Cleaved into: Placensin]
FBP1	fructose-bisphosphatase 1	Fructose-1,6-bisphosphatase 1
FBRSL1	fibrosin like 1	Fibrosin-1-like protein
FBXL14	F-box and leucine rich repeat protein 14	F-box/LRR-repeat protein 14
FBXL18	F-box and leucine rich repeat protein 18	F-box/LRR-repeat protein 18
FBXL2	F-box and leucine rich repeat protein 2	F-box/LRR-repeat protein 2
FBXL7	F-box and leucine rich repeat protein 7	F-box/LRR-repeat protein 7
FBXO16	F-box protein 16	F-box only protein 16
FBXO17	F-box protein 17	F-box only protein 17
FBXO2	F-box protein 2	F-box only protein 2
FBXO27	F-box protein 27	F-box only protein 27
FBXO36	F-box protein 36	F-box only protein 36
FBXO40	F-box protein 40	F-box only protein 40
FBXO41	F-box protein 41	F-box only protein 41
FBXO46	F-box protein 46	F-box only protein 46
FBXO48	F-box protein 48	F-box only protein 48
FBXO8	F-box protein 8	F-box only protein 8
FBXW10	F-box and WD repeat domain containing 10	F-box/WD repeat-containing protein 10
FBXW7	F-box and WD repeat domain containing 7	F-box/WD repeat-containing protein 7
FCAR	Fc alpha receptor	Immunoglobulin alpha Fc receptor
FCF1	FCF1 rRNA-processing protein	rRNA-processing protein FCF1 homolog
FCGR2A	Fc gamma receptor IIa	Low affinity immunoglobulin gamma Fc region receptor II-a
FCHO1	FCH and mu domain containing endocytic adaptor 1	F-BAR domain only protein 1
FCHO2	FCH and mu domain containing endocytic adaptor 2	F-BAR domain only protein 2
FCHSD1	FCH and double SH3 domains 1	F-BAR and double SH3 domains protein 1
FCMR	Fc mu receptor	Immunoglobulin mu Fc receptor
FCRL2	Fc receptor like 2	Fc receptor-like protein 2
FEN1	flap structure-specific endonuclease 1	Flap endonuclease 1
FERMT1	FERM domain containing kindlin 1	Fermitin family homolog 1
FES	FES proto-oncogene, tyrosine kinase	Tyrosine-protein kinase Fes/Fps
FETUB	fetuin B	Fetuin-B
FEV	FEV transcription factor, ETS family member	Protein FEV
FFAR2	free fatty acid receptor 2	Free fatty acid receptor 2
FFAR4	free fatty acid receptor 4	Free fatty acid receptor 4
FGD3	FYVE, RhoGEF and PH domain containing 3	FYVE, RhoGEF and PH domain-containing protein 3
FGD4	FYVE, RhoGEF and PH domain containing 4	FYVE, RhoGEF and PH domain-containing protein 4
FGF1	fibroblast growth factor 1	Fibroblast growth factor 1
FGF11	fibroblast growth factor 11	Fibroblast growth factor 11
FGF12	fibroblast growth factor 12	Fibroblast growth factor 12
FGF13	fibroblast growth factor 13	Fibroblast growth factor 13
FGF19	fibroblast growth factor 19	Fibroblast growth factor 19
FGF20	fibroblast growth factor 20	Fibroblast growth factor 20
FGF23	fibroblast growth factor 23	Fibroblast growth factor 23
FGF3	fibroblast growth factor 3	Fibroblast growth factor 3
FGFR1	fibroblast growth factor receptor 1	Fibroblast growth factor receptor 1
FGFR1OP2	FGFR1 oncogene partner 2	FGFR1 oncogene partner 2
FHDC1	FH2 domain containing 1	FH2 domain-containing protein 1
FHIP1B	FHF complex subunit HOOK interacting protein 1B	FHF complex subunit HOOK-interacting protein 1B
FHIT	fragile histidine triad diadenosine triphosphatase	Bis(5'-adenosyl)-triphosphatase
FHL3	four and a half LIM domains 3	Four and a half LIM domains protein 3
FILIP1L	filamin A interacting protein 1 like	Filamin A-interacting protein 1-like
FIMP1	fertilization-influencing membrane protein 1	Fertilization-influencing membrane protein 1
FIZ1	FLT3 interacting zinc finger 1	Flt3-interacting zinc finger protein 1
FJX1	four-jointed box kinase 1	Four-jointed box protein 1
FKBP1A	FKBP prolyl isomerase 1A	Peptidyl-prolyl cis-trans isomerase FKBP1A
FKBP3	FKBP prolyl isomerase 3	Peptidyl-prolyl cis-trans isomerase FKBP3
FKBP6	FKBP prolyl isomerase family member 6 (inactive)	Inactive peptidyl-prolyl cis-trans isomerase FKBP6
FKBP9	FKBP prolyl isomerase 9	Peptidyl-prolyl cis-trans isomerase FKBP9
FKRP	fukutin related protein	Ribitol 5-phosphate transferase FKRP
FLACC1	flagellum associated containing coiled-coil domains 1	Flagellum-associated coiled-coil domain-containing protein 1
FLG	filaggrin	Filaggrin
FLII	FLII actin remodeling protein	Protein flightless-1 homolog
FLOT2	flotillin 2	Flotillin-2
FMNL1	formin like 1	Formin-like protein 1
FMNL3	formin like 3	Formin-like protein 3
FMOD	fibromodulin	Fibromodulin
FN3K	fructosamine 3 kinase	Fructosamine-3-kinase
FNDC3A	fibronectin type III domain containing 3A	Fibronectin type-III domain-containing protein 3A
FNDC5	fibronectin type III domain containing 5	Fibronectin type III domain-containing protein 5
FNDC8	fibronectin type III domain containing 8	Fibronectin type III domain-containing protein 8
FOXA2	forkhead box A2	Hepatocyte nuclear factor 3-beta
FOXB2	forkhead box B2	Forkhead box protein B2
FOXD1	forkhead box D1	Forkhead box protein D1
FOXD4	forkhead box D4	Forkhead box protein D4
FOXF2	forkhead box F2	Forkhead box protein F2
FOXG1	forkhead box G1	Forkhead box protein G1
FOXH1	forkhead box H1	Forkhead box protein H1
FOXI1	forkhead box I1	Forkhead box protein I1
FOXK2	forkhead box K2	Forkhead box protein K2
FOXL3	forkhead box L3	Forkhead box protein L3
FOXN4	forkhead box N4	Forkhead box protein N4
FOXO3	forkhead box O3	Forkhead box protein O3
FOXO6	forkhead box O6	Forkhead box protein O6
FOXP1	forkhead box P1	Forkhead box protein P1
FOXP2	forkhead box P2	Forkhead box protein P2
FOXRED1	FAD dependent oxidoreductase domain containing 1	FAD-dependent oxidoreductase domain-containing protein 1
FOXRED2	FAD dependent oxidoreductase domain containing 2	FAD-dependent oxidoreductase domain-containing protein 2
FOXS1	forkhead box S1	Forkhead box protein S1
FPGT	fucose-1-phosphate guanylyltransferase	Fucose-1-phosphate guanylyltransferase
FPR1	formyl peptide receptor 1	N-formyl peptide receptor 1
FRA10AC1	FRA10A associated CGG repeat 1	Protein FRA10AC1
FREM2	FRAS1 related extracellular matrix 2	FRAS1-related extracellular matrix protein 2
FRMD1	FERM domain containing 1	FERM domain-containing protein 1
FRMD3	FERM domain containing 3	FERM domain-containing protein 3
FRMPD3	FERM and PDZ domain containing 3	FERM and PDZ domain-containing protein 3
FRRS1	ferric chelate reductase 1	Ferric reductase 1
FRY	FRY microtubule binding protein	Protein furry homolog
FRZB	frizzled related protein	Secreted frizzled-related protein 3
FSAF1	40S small subunit processome assembly factor 1	40S small subunit processome assembly factor 1
FSD1	fibronectin type III and SPRY domain containing 1	Fibronectin type III and SPRY domain-containing protein 1
FTL	ferritin light chain	Ferritin light chain
FTO	FTO alpha-ketoglutarate dependent dioxygenase	Alpha-ketoglutarate-dependent dioxygenase FTO
FUBP1	far upstream element binding protein 1	Far upstream element-binding protein 1
FURIN	furin, paired basic amino acid cleaving enzyme	Furin
FUS	FUS RNA binding protein	RNA-binding protein FUS
FUT2	fucosyltransferase 2 (H blood group)	Galactoside alpha-(1,2)-fucosyltransferase 2
FUT3	fucosyltransferase 3 (Lewis blood group)	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3
FUT4	fucosyltransferase 4	Alpha-(1,3)-fucosyltransferase 4
FUT6	fucosyltransferase 6	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6
FUT9	fucosyltransferase 9	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9
FXR1	FMR1 autosomal homolog 1	RNA-binding protein FXR1
FXYD4	FXYD domain containing ion transport regulator 4	FXYD domain-containing ion transport regulator 4
FYB2	FYN binding protein 2	FYN-binding protein 2
FYN	FYN proto-oncogene, Src family tyrosine kinase	Tyrosine-protein kinase Fyn
FZD4	frizzled class receptor 4	Frizzled-4
FZD7	frizzled class receptor 7	Frizzled-7
G6PC1	glucose-6-phosphatase catalytic subunit 1	Glucose-6-phosphatase catalytic subunit 1
GABARAP	GABA type A receptor-associated protein	Gamma-aminobutyric acid receptor-associated protein
GABBR2	gamma-aminobutyric acid type B receptor subunit 2	Gamma-aminobutyric acid type B receptor subunit 2
GABPB1	GA binding protein transcription factor subunit beta 1	GA-binding protein subunit beta-1
GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	Gamma-aminobutyric acid receptor subunit alpha-1
GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	Gamma-aminobutyric acid receptor subunit alpha-2
GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	Gamma-aminobutyric acid receptor subunit alpha-3
GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	Gamma-aminobutyric acid receptor subunit alpha-4
GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5	Gamma-aminobutyric acid receptor subunit alpha-5
GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	Gamma-aminobutyric acid receptor subunit alpha-6
GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	Gamma-aminobutyric acid receptor subunit beta-1
GABRB2	gamma-aminobutyric acid type A receptor subunit beta2	Gamma-aminobutyric acid receptor subunit beta-2
GABRB3	gamma-aminobutyric acid type A receptor subunit beta3	Gamma-aminobutyric acid receptor subunit beta-3
GABRD	gamma-aminobutyric acid type A receptor subunit delta	Gamma-aminobutyric acid receptor subunit delta
GABRE	gamma-aminobutyric acid type A receptor subunit epsilon	Gamma-aminobutyric acid receptor subunit epsilon
GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	Gamma-aminobutyric acid receptor subunit gamma-1
GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2	Gamma-aminobutyric acid receptor subunit gamma-2
GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3	Gamma-aminobutyric acid receptor subunit gamma-3
GABRP	gamma-aminobutyric acid type A receptor subunit pi	Gamma-aminobutyric acid receptor subunit pi
GABRQ	gamma-aminobutyric acid type A receptor subunit theta	Gamma-aminobutyric acid receptor subunit theta
GABRR1	gamma-aminobutyric acid type A receptor subunit rho1	Gamma-aminobutyric acid receptor subunit rho-1
GABRR2	gamma-aminobutyric acid type A receptor subunit rho2	Gamma-aminobutyric acid receptor subunit rho-2
GADD45A	growth arrest and DNA damage inducible alpha	Growth arrest and DNA damage-inducible protein GADD45 alpha
GADD45B	growth arrest and DNA damage inducible beta	Growth arrest and DNA damage-inducible protein GADD45 beta
GAGE12C	G antigen 12C	
GAGE12E	G antigen 12E	
GAGE12J	G antigen 12J	G antigen 12J
GAGE2B	G antigen 2B	
GAGE2C	G antigen 2C	
GAGE2D	G antigen 2D	
GAK	cyclin G associated kinase	Cyclin-G-associated kinase
GAL	galanin and GMAP prepropeptide	Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide
GAL3ST2	galactose-3-O-sulfotransferase 2	Galactose-3-O-sulfotransferase 2
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	Polypeptide N-acetylgalactosaminyltransferase 10
GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	Polypeptide N-acetylgalactosaminyltransferase 11
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	Polypeptide N-acetylgalactosaminyltransferase 13
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	Polypeptide N-acetylgalactosaminyltransferase 14
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	Polypeptide N-acetylgalactosaminyltransferase 17
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	Polypeptide N-acetylgalactosaminyltransferase 18
GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	Polypeptide N-acetylgalactosaminyltransferase 4
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	Probable polypeptide N-acetylgalactosaminyltransferase 8
GANAB	glucosidase II alpha subunit	Neutral alpha-glucosidase AB
GAPT	GRB2 binding adaptor protein, transmembrane	Protein GAPT
GAR1	GAR1 ribonucleoprotein	H/ACA ribonucleoprotein complex subunit 1
GAREM1	GRB2 associated regulator of MAPK1 subtype 1	GRB2-associated and regulator of MAPK protein 1
GARIN3	golgi associated RAB2 interactor family member 3	Golgi-associated RAB2 interactor protein 3
GARIN5A	golgi associated RAB2 interactor 5A	Golgi-associated RAB2 interactor protein 5A
GARIN6	golgi associated RAB2 interactor family member 6	Golgi-associated RAB2 interactor protein 6
GARNL3	GTPase activating Rap/RanGAP domain like 3	GTPase-activating Rap/Ran-GAP domain-like protein 3
GAS1	growth arrest specific 1	Growth arrest-specific protein 1
GAS7	growth arrest specific 7	Growth arrest-specific protein 7
GAST	gastrin	Gastrin [Cleaved into: Gastrin-71
GATA4	GATA binding protein 4	Transcription factor GATA-4
GBA2	glucosylceramidase beta 2	Non-lysosomal glucosylceramidase
GBP1	guanylate binding protein 1	Guanylate-binding protein 1
GBP5	guanylate binding protein 5	Guanylate-binding protein 5
GBX1	gastrulation brain homeobox 1	Homeobox protein GBX-1
GBX2	gastrulation brain homeobox 2	Homeobox protein GBX-2
GCDH	glutaryl-CoA dehydrogenase	Glutaryl-CoA dehydrogenase, mitochondrial
GCGR	glucagon receptor	Glucagon receptor
GCHFR	GTP cyclohydrolase I feedback regulator	GTP cyclohydrolase 1 feedback regulatory protein
GCM2	GCM transcription factor 2	Chorion-specific transcription factor GCMb
GCN1	GCN1 activator of EIF2AK4	Stalled ribosome sensor GCN1
GCNT1	glucosaminyl (N-acetyl) transferase 1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3
GCSAM	germinal center associated signaling and motility	Germinal center-associated signaling and motility protein
GDA	guanine deaminase	Guanine deaminase
GDF10	growth differentiation factor 10	Growth/differentiation factor 10
GDF11	growth differentiation factor 11	Growth/differentiation factor 11
GDF7	growth differentiation factor 7	Growth/differentiation factor 7
GDNF	glial cell derived neurotrophic factor	Glial cell line-derived neurotrophic factor
GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	Lysophospholipase D GDPD1
GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	Glycerophosphodiester phosphodiesterase 6
GEMIN4	gem nuclear organelle associated protein 4	Gem-associated protein 4
GEMIN6	gem nuclear organelle associated protein 6	Gem-associated protein 6
GFI1	growth factor independent 1 transcriptional repressor	Zinc finger protein Gfi-1
GFPT1	glutamine--fructose-6-phosphate transaminase 1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	ADP-ribosylation factor-binding protein GGA3
GGNBP2	gametogenetin binding protein 2	Gametogenetin-binding protein 2
GGTLC1	gamma-glutamyltransferase light chain 1	Glutathione hydrolase light chain 1
GHITM	growth hormone inducible transmembrane protein	Growth hormone-inducible transmembrane protein
GHRHR	growth hormone releasing hormone receptor	Growth hormone-releasing hormone receptor
GHSR	growth hormone secretagogue receptor	Growth hormone secretagogue receptor type 1
GIGYF2	GRB10 interacting GYF protein 2	GRB10-interacting GYF protein 2
GIMAP5	GTPase, IMAP family member 5	GTPase IMAP family member 5
GINM1	glycosylated integral membrane protein 1	Glycoprotein integral membrane protein 1
GINS3	GINS complex subunit 3	DNA replication complex GINS protein PSF3
GINS4	GINS complex subunit 4	DNA replication complex GINS protein SLD5
GJA3	gap junction protein alpha 3	Gap junction alpha-3 protein
GJB1	gap junction protein beta 1	Gap junction beta-1 protein
GJB2	gap junction protein beta 2	Gap junction beta-2 protein
GJC2	gap junction protein gamma 2	Gap junction gamma-2 protein
GJC3	gap junction protein gamma 3	Gap junction gamma-3 protein
GKAP1	G kinase anchoring protein 1	G kinase-anchoring protein 1
GKN1	gastrokine 1	Gastrokine-1
GLDC	glycine decarboxylase	Glycine dehydrogenase
GLE1	GLE1 RNA export mediator	mRNA export factor GLE1
GLIS1	GLIS family zinc finger 1	Zinc finger protein GLIS1
GLOD5	glyoxalase domain containing 5	Glyoxalase domain-containing protein 5
GLP1R	glucagon like peptide 1 receptor	Glucagon-like peptide 1 receptor
GLS	glutaminase	Glutaminase kidney isoform, mitochondrial
GLT8D1	glycosyltransferase 8 domain containing 1	Glycosyltransferase 8 domain-containing protein 1
GLTP	glycolipid transfer protein	Glycolipid transfer protein
GLTPD2	glycolipid transfer protein domain containing 2	Glycolipid transfer protein domain-containing protein 2
GLYATL1	glycine-N-acyltransferase like 1	Glycine N-acyltransferase-like protein 1
GMFG	glia maturation factor gamma	Glia maturation factor gamma
GMPS	guanosine monophosphate synthase	GMP synthase [glutamine-hydrolyzing]
GNA13	G protein subunit alpha 13	Guanine nucleotide-binding protein subunit alpha-13
GNAL	G protein subunit alpha L	Guanine nucleotide-binding protein G(olf) subunit alpha
GNAZ	G protein subunit alpha z	Guanine nucleotide-binding protein G(z) subunit alpha
GNB3	G protein subunit beta 3	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3
GNB5	G protein subunit beta 5	Guanine nucleotide-binding protein subunit beta-5
GNG11	G protein subunit gamma 11	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
GNG12	G protein subunit gamma 12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
GNL1	G protein nucleolar 1	Guanine nucleotide-binding protein-like 1
GNL3L	G protein nucleolar 3 like	Guanine nucleotide-binding protein-like 3-like protein
GNMT	glycine N-methyltransferase	Glycine N-methyltransferase
GNRH2	gonadotropin releasing hormone 2	Progonadoliberin-2
GOLGA6D	golgin A6 family member D	Golgin subfamily A member 6D
GOLGA6L22	golgin A6 family like 22	Golgin subfamily A member 6-like protein 22
GOLGA6L6	golgin A6 family like 6 (gene/pseudogene)	Golgin subfamily A member 6-like protein 6
GOLGA6L7	golgin A6 family like 7	Golgin subfamily A member 6-like protein 7
GOLGA8A	golgin A8 family member A	Golgin subfamily A member 8A
GOLGA8F	golgin A8 family member F	Golgin subfamily A member 8F
GOLGA8H	golgin A8 family member H	Golgin subfamily A member 8H
GOLGA8O	golgin A8 family member O	Golgin subfamily A member 8O
GOLIM4	golgi integral membrane protein 4	Golgi integral membrane protein 4
GOLM2	golgi membrane protein 2	Protein GOLM2
GOLT1A	golgi transport 1A	Vesicle transport protein GOT1A
GOPC	golgi associated PDZ and coiled-coil motif containing	Golgi-associated PDZ and coiled-coil motif-containing protein
GORAB	golgin, RAB6 interacting	RAB6-interacting golgin
GOSR2	golgi SNAP receptor complex member 2	Golgi SNAP receptor complex member 2
GP2	glycoprotein 2	Pancreatic secretory granule membrane major glycoprotein GP2
GP5	glycoprotein V platelet	Platelet glycoprotein V
GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	Glycerol-3-phosphate acyltransferase 2, mitochondrial
GPATCH11	G-patch domain containing 11	G patch domain-containing protein 11
GPATCH4	G-patch domain containing 4 (gene/pseudogene)	G patch domain-containing protein 4
GPBP1	GC-rich promoter binding protein 1	Vasculin
GPC4	glypican 4	Glypican-4
GPC6	glypican 6	Glypican-6 [Cleaved into: Secreted glypican-6]
GPD1	glycerol-3-phosphate dehydrogenase 1	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
GPD2	glycerol-3-phosphate dehydrogenase 2	Glycerol-3-phosphate dehydrogenase, mitochondrial
GPHA2	glycoprotein hormone subunit alpha 2	Glycoprotein hormone alpha-2
GPI	glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase
GPM6A	glycoprotein M6A	Neuronal membrane glycoprotein M6-a
GPN2	GPN-loop GTPase 2	GPN-loop GTPase 2
GPNMB	glycoprotein nmb	Transmembrane glycoprotein NMB
GPR101	G protein-coupled receptor 101	Probable G protein-coupled receptor 101
GPR12	G protein-coupled receptor 12	G protein-coupled receptor 12
GPR149	G protein-coupled receptor 149	Probable G protein-coupled receptor 149
GPR150	G protein-coupled receptor 150	Probable G protein-coupled receptor 150
GPR17	G protein-coupled receptor 17	Uracil nucleotide/cysteinyl leukotriene receptor
GPR173	G protein-coupled receptor 173	Probable G protein-coupled receptor 173
GPR18	G protein-coupled receptor 18	N-arachidonyl glycine receptor
GPR20	G protein-coupled receptor 20	G protein-coupled receptor 20
GPR22	G protein-coupled receptor 22	G protein-coupled receptor 22
GPR26	G protein-coupled receptor 26	G protein-coupled receptor 26
GPR34	G protein-coupled receptor 34	Probable G protein-coupled receptor 34
GPR35	G protein-coupled receptor 35	G protein-coupled receptor 35
GPR37	G protein-coupled receptor 37	Prosaposin receptor GPR37
GPR45	G protein-coupled receptor 45	Probable G protein-coupled receptor 45
GPR50	G protein-coupled receptor 50	Melatonin-related receptor
GPR6	G protein-coupled receptor 6	G protein-coupled receptor 6
GPR63	G protein-coupled receptor 63	Probable G protein-coupled receptor 63
GPR68	G protein-coupled receptor 68	G protein-coupled receptor 68
GPR83	G protein-coupled receptor 83	G protein-coupled receptor 83
GPRASP1	G protein-coupled receptor associated sorting protein 1	G protein-coupled receptor-associated sorting protein 1
GPRC5C	G protein-coupled receptor class C group 5 member C	G protein-coupled receptor family C group 5 member C
GPS1	G protein pathway suppressor 1	COP9 signalosome complex subunit 1
GPS2	G protein pathway suppressor 2	G protein pathway suppressor 2
GRAMD1B	GRAM domain containing 1B	Protein Aster-B
GRAMD2B	GRAM domain containing 2B	GRAM domain-containing protein 2B
GRAPL	GRB2 related adaptor protein like	GRB2-related adapter protein-like
GRB14	growth factor receptor bound protein 14	Growth factor receptor-bound protein 14
GRHL3	grainyhead like transcription factor 3	Grainyhead-like protein 3 homolog
GRHPR	glyoxylate and hydroxypyruvate reductase	Glyoxylate reductase/hydroxypyruvate reductase
GRIA1	glutamate ionotropic receptor AMPA type subunit 1	Glutamate receptor 1
GRIA2	glutamate ionotropic receptor AMPA type subunit 2	Glutamate receptor 2
GRIK3	glutamate ionotropic receptor kainate type subunit 3	Glutamate receptor ionotropic, kainate 3
GRIN1	glutamate ionotropic receptor NMDA type subunit 1	Glutamate receptor ionotropic, NMDA 1
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	Glutamate receptor ionotropic, NMDA 2A
GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	Glutamate receptor ionotropic, NMDA 2B
GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	Glutamate receptor ionotropic, NMDA 2C
GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	Glutamate receptor ionotropic, NMDA 2D
GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	Glutamate receptor ionotropic, NMDA 3A
GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	Glutamate receptor ionotropic, NMDA 3B
GRIP2	glutamate receptor interacting protein 2	Glutamate receptor-interacting protein 2
GRK5	G protein-coupled receptor kinase 5	G protein-coupled receptor kinase 5
GRM1	glutamate metabotropic receptor 1	Metabotropic glutamate receptor 1
GRM2	glutamate metabotropic receptor 2	Metabotropic glutamate receptor 2
GRM3	glutamate metabotropic receptor 3	Metabotropic glutamate receptor 3
GRM5	glutamate metabotropic receptor 5	Metabotropic glutamate receptor 5
GRWD1	glutamate rich WD repeat containing 1	Glutamate-rich WD repeat-containing protein 1
GRXCR1	glutaredoxin and cysteine rich domain containing 1	Glutaredoxin domain-containing cysteine-rich protein 1
GRXCR2	glutaredoxin and cysteine rich domain containing 2	Glutaredoxin domain-containing cysteine-rich protein 2
GSDME	gasdermin E	Gasdermin-E
GSG1	germ cell associated 1	Germ cell-specific gene 1 protein
GSK3A	glycogen synthase kinase 3 alpha	Glycogen synthase kinase-3 alpha
GSK3B	glycogen synthase kinase 3 beta	Glycogen synthase kinase-3 beta
GSPT1	G1 to S phase transition 1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
GSPT2	G1 to S phase transition 2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B
