# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
A3GALT2	alpha 1,3-galactosyltransferase 2	Alpha-1,3-galactosyltransferase 2
AADACL3	arylacetamide deacetylase like 3	Arylacetamide deacetylase-like 3
AAMP	angio associated migratory cell protein	Angio-associated migratory cell protein
AASS	aminoadipate-semialdehyde synthase	Alpha-aminoadipic semialdehyde synthase, mitochondrial
AATF	apoptosis antagonizing transcription factor	Protein AATF
ABCA5	ATP binding cassette subfamily A member 5	Cholesterol transporter ABCA5
ABCA8	ATP binding cassette subfamily A member 8	ABC-type organic anion transporter ABCA8
ABCA9	ATP binding cassette subfamily A member 9	ATP-binding cassette sub-family A member 9
ABCB10	ATP binding cassette subfamily B member 10	ATP-binding cassette sub-family B member 10, mitochondrial
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	ATP-binding cassette sub-family B member 6
ABCB7	ATP binding cassette subfamily B member 7	Iron-sulfur clusters transporter ABCB7, mitochondrial
ABCC2	ATP binding cassette subfamily C member 2	ATP-binding cassette sub-family C member 2
ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	ATP-binding cassette sub-family C member 4
ABCC6	ATP binding cassette subfamily C member 6	ATP-binding cassette sub-family C member 6
ABCC9	ATP binding cassette subfamily C member 9	ATP-binding cassette sub-family C member 9
ABCD1	ATP binding cassette subfamily D member 1	ATP-binding cassette sub-family D member 1
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABCG5	ATP binding cassette subfamily G member 5	ATP-binding cassette sub-family G member 5
ABHD12B	abhydrolase domain containing 12B	Protein ABHD12B
ABHD14B	abhydrolase domain containing 14B	Putative protein-lysine deacylase ABHD14B
ABHD16A	abhydrolase domain containing 16A, phospholipase	Phosphatidylserine lipase ABHD16A
ABHD16B	abhydrolase domain containing 16B	ABHD16B
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	Alpha/beta hydrolase domain-containing protein 17B
ABHD18	abhydrolase domain containing 18	Cardiolipin-specific deacylase, mitochondrial
ABI3BP	ABI family member 3 binding protein	Target of Nesh-SH3
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Tyrosine-protein kinase ABL1
ABLIM2	actin binding LIM protein family member 2	Actin-binding LIM protein 2
ABRACL	ABRA C-terminal like	Costars family protein ABRACL
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	BRCA1-A complex subunit Abraxas 1
ABTB1	ankyrin repeat and BTB domain containing 1	Ankyrin repeat and BTB/POZ domain-containing protein 1
ACADL	acyl-CoA dehydrogenase long chain	Long-chain specific acyl-CoA dehydrogenase, mitochondrial
ACADS	acyl-CoA dehydrogenase short chain	Short-chain specific acyl-CoA dehydrogenase, mitochondrial
ACBD4	acyl-CoA binding domain containing 4	Acyl-CoA-binding domain-containing protein 4
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	1-aminocyclopropane-1-carboxylate synthase-like protein 1
ACE	angiotensin I converting enzyme	Angiotensin-converting enzyme
ACIN1	apoptotic chromatin condensation inducer 1	Apoptotic chromatin condensation inducer in the nucleus
ACKR4	atypical chemokine receptor 4	Atypical chemokine receptor 4
ACO1	aconitase 1	Cytoplasmic aconitate hydratase
ACO2	aconitase 2	Aconitate hydratase, mitochondrial
ACOT4	acyl-CoA thioesterase 4	Peroxisomal succinyl-coenzyme A thioesterase
ACOXL	acyl-CoA oxidase like	Acyl-coenzyme A oxidase-like protein
ACP6	acid phosphatase 6, lysophosphatidic	Lysophosphatidic acid phosphatase type 6
ACR	acrosin	Acrosin
ACSL1	acyl-CoA synthetase long chain family member 1	Long-chain-fatty-acid--CoA ligase 1
ACSL5	acyl-CoA synthetase long chain family member 5	Long-chain-fatty-acid--CoA ligase 5
ACSL6	acyl-CoA synthetase long chain family member 6	Long-chain-fatty-acid--CoA ligase 6
ACSM2A	acyl-CoA synthetase medium chain family member 2A	Acyl-coenzyme A synthetase ACSM2A, mitochondrial
ACSM3	acyl-CoA synthetase medium chain family member 3	Acyl-coenzyme A synthetase ACSM3, mitochondrial
ACSS1	acyl-CoA synthetase short chain family member 1	Acetyl-coenzyme A synthetase 2-like, mitochondrial
ACSS2	acyl-CoA synthetase short chain family member 2	Acetyl-coenzyme A synthetase, cytoplasmic
ACSS3	acyl-CoA synthetase short chain family member 3	Acyl-CoA synthetase short-chain family member 3, mitochondrial
ACTBL2	actin beta like 2	Beta-actin-like protein 2
ACTG2	actin gamma 2, smooth muscle	Actin, gamma-enteric smooth muscle
ACTL6A	actin like 6A	Actin-like protein 6A
ACTMAP	actin maturation protease	Actin maturation protease
ACTN4	actinin alpha 4	Alpha-actinin-4
ACTR1A	actin related protein 1A	Alpha-centractin
ACTR1B	actin related protein 1B	Beta-centractin
ACTR3C	actin related protein 3C	Actin-related protein 3C
ACTR5	actin related protein 5	Actin-related protein 5
ACTR8	actin related protein 8	Actin-related protein 8
ACYP2	acylphosphatase 2	Acylphosphatase-2
ADAM10	ADAM metallopeptidase domain 10	Disintegrin and metalloproteinase domain-containing protein 10
ADAM11	ADAM metallopeptidase domain 11	Disintegrin and metalloproteinase domain-containing protein 11
ADAM12	ADAM metallopeptidase domain 12	Disintegrin and metalloproteinase domain-containing protein 12
ADAM19	ADAM metallopeptidase domain 19	Disintegrin and metalloproteinase domain-containing protein 19
ADAM21	ADAM metallopeptidase domain 21	Disintegrin and metalloproteinase domain-containing protein 21
ADAM22	ADAM metallopeptidase domain 22	Disintegrin and metalloproteinase domain-containing protein 22
ADAM28	ADAM metallopeptidase domain 28	Disintegrin and metalloproteinase domain-containing protein 28
ADAM29	ADAM metallopeptidase domain 29	Disintegrin and metalloproteinase domain-containing protein 29
ADAM7	ADAM metallopeptidase domain 7	Disintegrin and metalloproteinase domain-containing protein 7
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	A disintegrin and metalloproteinase with thrombospondin motifs 12
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	A disintegrin and metalloproteinase with thrombospondin motifs 13
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	A disintegrin and metalloproteinase with thrombospondin motifs 18
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	A disintegrin and metalloproteinase with thrombospondin motifs 20
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	A disintegrin and metalloproteinase with thrombospondin motifs 9
ADAR	adenosine deaminase RNA specific	Double-stranded RNA-specific adenosine deaminase
ADCY5	adenylate cyclase 5	Adenylate cyclase type 5
ADCY6	adenylate cyclase 6	Adenylate cyclase type 6
ADCY8	adenylate cyclase 8	Adenylate cyclase type 8
ADD2	adducin 2	Beta-adducin
ADGRA3	adhesion G protein-coupled receptor A3	Adhesion G protein-coupled receptor A3
ADGRD1	adhesion G protein-coupled receptor D1	Adhesion G protein-coupled receptor D1
ADGRE2	adhesion G protein-coupled receptor E2	Adhesion G protein-coupled receptor E2
ADGRF3	adhesion G protein-coupled receptor F3	Adhesion G protein-coupled receptor F3
ADGRG4	adhesion G protein-coupled receptor G4	Adhesion G protein-coupled receptor G4
ADGRL2	adhesion G protein-coupled receptor L2	Adhesion G protein-coupled receptor L2
ADGRL3	adhesion G protein-coupled receptor L3	Adhesion G protein-coupled receptor L3
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	Alcohol dehydrogenase 1C
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	All-trans-retinol dehydrogenase [NAD(+)] ADH4
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	Alcohol dehydrogenase class-3
ADI1	acireductone dioxygenase 1	Acireductone dioxygenase
ADIPOR2	adiponectin receptor 2	Adiponectin receptor protein 2
ADM	adrenomedullin	Pro-adrenomedullin [Cleaved into: Adrenomedullin
ADORA1	adenosine A1 receptor	Adenosine receptor A1
ADORA3	adenosine A3 receptor	Adenosine receptor A3
ADPGK	ADP dependent glucokinase	ADP-dependent glucokinase
ADRA1B	adrenoceptor alpha 1B	Alpha-1B adrenergic receptor
ADRA2A	adrenoceptor alpha 2A	Alpha-2A adrenergic receptor
ADRA2B	adrenoceptor alpha 2B	Alpha-2B adrenergic receptor
ADRB1	adrenoceptor beta 1	Beta-1 adrenergic receptor
ADSL	adenylosuccinate lyase	Adenylosuccinate lyase
AFAP1	actin filament associated protein 1	Actin filament-associated protein 1
AFAP1L2	actin filament associated protein 1 like 2	Actin filament-associated protein 1-like 2
AFDN	afadin, adherens junction formation factor	Afadin
AFF1	ALF transcription elongation factor 1	AF4/FMR2 family member 1
AFF3	ALF transcription elongation factor 3	AF4/FMR2 family member 3
AFG1L	AFG1 like ATPase	AFG1-like ATPase
AFM	afamin	Afamin
AGA	aspartylglucosaminidase	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9
AGBL1	AGBL carboxypeptidase 1	Cytosolic carboxypeptidase 4
AGBL4	AGBL carboxypeptidase 4	Cytosolic carboxypeptidase 6
AGFG2	ArfGAP with FG repeats 2	Arf-GAP domain and FG repeat-containing protein 2
AGGF1	angiogenic factor with G-patch and FHA domains 1	Angiogenic factor with G patch and FHA domains 1
AGL	amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase	Glycogen debranching enzyme
AGO1	argonaute RISC component 1	Protein argonaute-1
AGO3	argonaute RISC catalytic component 3	Protein argonaute-3
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
AGRN	agrin	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit
AGT	angiotensinogen	Angiotensinogen
AGTPBP1	ATP/GTP binding carboxypeptidase 1	Cytosolic carboxypeptidase 1
AGTR1	angiotensin II receptor type 1	Type-1 angiotensin II receptor
AGTR2	angiotensin II receptor type 2	Type-2 angiotensin II receptor
AGXT	alanine--glyoxylate aminotransferase	Alanine--glyoxylate aminotransferase
AGXT2	alanine--glyoxylate aminotransferase 2	Alanine--glyoxylate aminotransferase 2, mitochondrial
AHCTF1	AT-hook containing transcription factor 1	Protein ELYS
AHR	aryl hydrocarbon receptor	Aryl hydrocarbon receptor
AHSA1	activator of HSP90 ATPase activity 1	Activator of 90 kDa heat shock protein ATPase homolog 1
AHSG	alpha 2-HS glycoprotein	Alpha-2-HS-glycoprotein
AIF1	allograft inflammatory factor 1	Allograft inflammatory factor 1
AIF1L	allograft inflammatory factor 1 like	Allograft inflammatory factor 1-like
AIPL1	AIP like 1 HSP90 co-chaperone	Aryl-hydrocarbon-interacting protein-like 1
AIRE	autoimmune regulator	Autoimmune regulator
AJUBA	ajuba LIM protein	LIM domain-containing protein ajuba
AK6	adenylate kinase 6	Adenylate kinase isoenzyme 6
AK7	adenylate kinase 7	Adenylate kinase 7
AKAP12	A-kinase anchoring protein 12	A-kinase anchor protein 12
AKAP17A	A-kinase anchoring protein 17A	A-kinase anchor protein 17A
AKAP5	A-kinase anchoring protein 5	A-kinase anchor protein 5
AKIRIN1	akirin 1	Akirin-1
AKR1A1	aldo-keto reductase family 1 member A1	Aldo-keto reductase family 1 member A1
AKR1B1	aldo-keto reductase family 1 member B	Aldo-keto reductase family 1 member B1
AKR1B10	aldo-keto reductase family 1 member B10	Aldo-keto reductase family 1 member B10
AKR1C3	aldo-keto reductase family 1 member C3	Aldo-keto reductase family 1 member C3
AKR1E2	aldo-keto reductase family 1 member E2	1,5-anhydro-D-fructose reductase
AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	Aflatoxin B1 aldehyde reductase member 4
AKT2	AKT serine/threonine kinase 2	RAC-beta serine/threonine-protein kinase
ALAS1	5'-aminolevulinate synthase 1	5-aminolevulinate synthase, non-specific, mitochondrial
ALCAM	activated leukocyte cell adhesion molecule	CD166 antigen
ALDH1A2	aldehyde dehydrogenase 1 family member A2	Retinal dehydrogenase 2
ALDH1L1	aldehyde dehydrogenase 1 family member L1	Cytosolic 10-formyltetrahydrofolate dehydrogenase
ALDH2	aldehyde dehydrogenase 2 family member	Aldehyde dehydrogenase, mitochondrial
ALDH3A2	aldehyde dehydrogenase 3 family member A2	Aldehyde dehydrogenase family 3 member A2
ALDH4A1	aldehyde dehydrogenase 4 family member A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
ALDH6A1	aldehyde dehydrogenase 6 family member A1	Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial
ALDH8A1	aldehyde dehydrogenase 8 family member A1	2-aminomuconic semialdehyde dehydrogenase
ALDOB	aldolase, fructose-bisphosphate B	Fructose-bisphosphate aldolase B
ALDOC	aldolase, fructose-bisphosphate C	Fructose-bisphosphate aldolase C
ALG12	ALG12 alpha-1,6-mannosyltransferase	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase
ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit	UDP-N-acetylglucosamine transferase subunit ALG14
ALG6	ALG6 alpha-1,3-glucosyltransferase	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase
ALK	ALK receptor tyrosine kinase	ALK tyrosine kinase receptor
ALKBH4	alkB homolog 4, lysine demethylase	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4
ALKBH5	alkB homolog 5, RNA demethylase	RNA demethylase ALKBH5
ALKBH6	alkB homolog 6, nucleotide demethylase	Probable RNA/DNA demethylase ALKBH6
ALLC	allantoicase	Probable inactive allantoicase
ALMS1	ALMS1 centrosome and basal body associated protein	Centrosome-associated protein ALMS1
ALOX12B	arachidonate 12-lipoxygenase, 12R type	Arachidonate 12-lipoxygenase, 12R-type
ALOX5AP	arachidonate 5-lipoxygenase activating protein	Arachidonate 5-lipoxygenase-activating protein
ALOXE3	arachidonate epidermal lipoxygenase 3	Hydroperoxide isomerase ALOXE3
ALPK3	alpha kinase 3	Alpha-protein kinase 3
ALS2	alsin Rho guanine nucleotide exchange factor ALS2	Alsin
ALX4	ALX homeobox 4	Homeobox protein aristaless-like 4
AMBRA1	autophagy and beclin 1 regulator 1	Activating molecule in BECN1-regulated autophagy protein 1
AMER1	APC membrane recruitment protein 1	APC membrane recruitment protein 1
AMER2	APC membrane recruitment protein 2	APC membrane recruitment protein 2
AMER3	APC membrane recruitment protein 3	APC membrane recruitment protein 3
AMHR2	anti-Mullerian hormone receptor type 2	Anti-Muellerian hormone type-2 receptor
AMMECR1	AMMECR nuclear protein 1	Nuclear protein AMMECR1
AMN1	antagonist of mitotic exit network 1 homolog	Protein AMN1 homolog
AMOT	angiomotin	Angiomotin
AMTN	amelotin	Amelotin
AMY2A	amylase alpha 2A	Pancreatic alpha-amylase
ANAPC1	anaphase promoting complex subunit 1	Anaphase-promoting complex subunit 1
ANAPC7	anaphase promoting complex subunit 7	Anaphase-promoting complex subunit 7
ANGEL2	angel homolog 2	RNA 2',3'-cyclic phosphatase ANGEL2
ANGPT1	angiopoietin 1	Angiopoietin-1
ANGPTL6	angiopoietin like 6	Angiopoietin-related protein 6
ANK3	ankyrin 3	Ankyrin-3
ANKAR	ankyrin and armadillo repeat containing	Ankyrin and armadillo repeat-containing protein
ANKEF1	ankyrin repeat and EF-hand domain containing 1	Ankyrin repeat and EF-hand domain-containing protein 1
ANKMY2	ankyrin repeat and MYND domain containing 2	Ankyrin repeat and MYND domain-containing protein 2
ANKRD27	ankyrin repeat domain 27	Ankyrin repeat domain-containing protein 27
ANKRD35	ankyrin repeat domain 35	Ankyrin repeat domain-containing protein 35
ANKRD39	ankyrin repeat domain 39	Ankyrin repeat domain-containing protein 39
ANKRD40	ankyrin repeat domain 40	Ankyrin repeat domain-containing protein 40
ANKRD40CL	ANKRD40 C-terminal like	Putative ANKRD40 C-terminal-like protein
ANKRD44	ankyrin repeat domain 44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
ANKRD52	ankyrin repeat domain 52	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C
ANKRD54	ankyrin repeat domain 54	Ankyrin repeat domain-containing protein 54
ANKRD6	ankyrin repeat domain 6	Ankyrin repeat domain-containing protein 6
ANKRD62	ankyrin repeat domain 62	Ankyrin repeat domain-containing protein 62
ANKRD63	ankyrin repeat domain 63	Ankyrin repeat domain-containing protein 63
ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B	Ankyrin repeat and sterile alpha motif domain-containing protein 1B
ANO9	anoctamin 9	Anoctamin-9
ANTXR1	ANTXR cell adhesion molecule 1	Anthrax toxin receptor 1
ANXA1	annexin A1	Annexin A1
ANXA10	annexin A10	Annexin A10
ANXA13	annexin A13	Annexin A13
ANXA2	annexin A2	Annexin A2
AOAH	acyloxyacyl hydrolase	Acyloxyacyl hydrolase
AOC2	amine oxidase copper containing 2	Amine oxidase [copper-containing] 2
AP1M1	adaptor related protein complex 1 subunit mu 1	AP-1 complex subunit mu-1
AP1S2	adaptor related protein complex 1 subunit sigma 2	AP-1 complex subunit sigma-2
AP3M1	adaptor related protein complex 3 subunit mu 1	AP-3 complex subunit mu-1
AP3M2	adaptor related protein complex 3 subunit mu 2	AP-3 complex subunit mu-2
AP4E1	adaptor related protein complex 4 subunit epsilon 1	AP-4 complex subunit epsilon-1
AP4M1	adaptor related protein complex 4 subunit mu 1	AP-4 complex subunit mu-1
AP5S1	adaptor related protein complex 5 subunit sigma 1	AP-5 complex subunit sigma-1
APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
APC2	APC regulator of Wnt signaling pathway 2	Adenomatous polyposis coli protein 2
APCDD1L	APC down-regulated 1 like	Protein APCDD1-like
APELA	apelin receptor early endogenous ligand	Apelin receptor early endogenous ligand
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	DNA repair nuclease/redox regulator APEX1
APLF	aprataxin and PNKP like factor	Aprataxin and PNK-like factor
APLP2	amyloid beta precursor like protein 2	Amyloid beta precursor like protein 2
APOA1	apolipoprotein A1	Apolipoprotein A-I
APOA5	apolipoprotein A5	Apolipoprotein A-V
APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	DNA dC->dU-editing enzyme APOBEC-3H
APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	Putative deaminase APOBEC-4
APOC2	apolipoprotein C2	Apolipoprotein C-II
APOC3	apolipoprotein C3	Apolipoprotein C-III
APOC4	apolipoprotein C4	Apolipoprotein C-IV
APOE	apolipoprotein E	Apolipoprotein E
APOL3	apolipoprotein L3	Apolipoprotein L3
APOO	apolipoprotein O	MICOS complex subunit MIC26
APOOL	apolipoprotein O like	MICOS complex subunit MIC27
APRT	adenine phosphoribosyltransferase	Adenine phosphoribosyltransferase
APTX	aprataxin	Aprataxin
AQP1	aquaporin 1 (Colton blood group)	Aquaporin-1
AQP11	aquaporin 11	Aquaporin-11
AQP12A	aquaporin 12A	Putative aquaporin-12A
AQP2	aquaporin 2	Aquaporin-2
AQP3	aquaporin 3 (Gill blood group)	Aquaporin-3
AQP4	aquaporin 4	Aquaporin-4
AQP5	aquaporin 5	Aquaporin-5
AQP6	aquaporin 6	Aquaporin-6
AQP7	aquaporin 7	Aquaporin-7
AQP7B	aquaporin 7B	Putative aquaporin-7B
AQR	aquarius intron-binding spliceosomal factor	RNA helicase aquarius
AR	androgen receptor	Androgen receptor
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3
ARCN1	archain 1 coat protein complex I subunit delta	Coatomer subunit delta
AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	Apoptosis-resistant E3 ubiquitin protein ligase 1
ARF4	ARF GTPase 4	ADP-ribosylation factor 4
ARF6	ARF GTPase 6	ADP-ribosylation factor 6
ARG2	arginase 2	Arginase-2, mitochondrial
ARHGAP11A	Rho GTPase activating protein 11A	Rho GTPase-activating protein 11A
ARHGAP19	Rho GTPase activating protein 19	Rho GTPase-activating protein 19
ARHGAP24	Rho GTPase activating protein 24	Rho GTPase-activating protein 24
ARHGAP26	Rho GTPase activating protein 26	Rho GTPase-activating protein 26
ARHGAP36	Rho GTPase activating protein 36	Rho GTPase-activating protein 36
ARHGAP39	Rho GTPase activating protein 39	Rho GTPase-activating protein 39
ARHGAP4	Rho GTPase activating protein 4	Rho GTPase-activating protein 4
ARHGAP44	Rho GTPase activating protein 44	Rho GTPase-activating protein 44
ARHGDIA	Rho GDP dissociation inhibitor alpha	Rho GDP-dissociation inhibitor 1
ARHGDIB	Rho GDP dissociation inhibitor beta	Rho GDP-dissociation inhibitor 2
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	Rho guanine nucleotide exchange factor 10-like protein
ARHGEF16	Rho guanine nucleotide exchange factor 16	Rho guanine nucleotide exchange factor 16
ARHGEF26	Rho guanine nucleotide exchange factor 26	Rho guanine nucleotide exchange factor 26
ARHGEF3	Rho guanine nucleotide exchange factor 3	Rho guanine nucleotide exchange factor 3
ARHGEF35	Rho guanine nucleotide exchange factor 35	Rho guanine nucleotide exchange factor 35
ARID2	AT-rich interaction domain 2	AT-rich interactive domain-containing protein 2
ARID3A	AT-rich interaction domain 3A	AT-rich interactive domain-containing protein 3A
ARID4B	AT-rich interaction domain 4B	AT-rich interactive domain-containing protein 4B
ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	E3 ubiquitin-protein ligase ARIH2
ARK2C	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C	E3 ubiquitin-protein ligase ARK2C
ARL1	ARF like GTPase 1	ADP-ribosylation factor-like protein 1
ARL13B	ARF like GTPase 13B	ADP-ribosylation factor-like protein 13B
ARL14	ARF like GTPase 14	ADP-ribosylation factor-like protein 14
ARL15	ARF like GTPase 15	ADP-ribosylation factor-like protein 15
ARL17B	ARF like GTPase 17B	Putative ADP-ribosylation factor-like protein 17B
ARL3	ARF like GTPase 3	ADP-ribosylation factor-like protein 3
ARL5A	ARF like GTPase 5A	ADP-ribosylation factor-like protein 5A
ARL6IP4	ARF like GTPase 6 interacting protein 4	ADP-ribosylation factor-like protein 6-interacting protein 4
ARMC6	armadillo repeat containing 6	Armadillo repeat-containing protein 6
ARMCX5	armadillo repeat containing X-linked 5	Armadillo repeat-containing X-linked protein 5
ARMH2	armadillo like helical domain containing 2	Armadillo-like helical domain-containing protein 2
ARPC1B	actin related protein 2/3 complex subunit 1B	Actin-related protein 2/3 complex subunit 1B
ARPP19	cAMP regulated phosphoprotein 19	cAMP-regulated phosphoprotein 19
ARRDC1	arrestin domain containing 1	Arrestin domain-containing protein 1
ARSB	arylsulfatase B	Arylsulfatase B
ARSF	arylsulfatase F	Arylsulfatase F
ARSH	arylsulfatase family member H	Arylsulfatase H
ART4	ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)	Ecto-ADP-ribosyltransferase 4
ARV1	ARV1 fatty acid homeostasis modulator	Protein ARV1
AS3MT	arsenite methyltransferase	Arsenite methyltransferase
ASAH2	N-acylsphingosine amidohydrolase 2	Neutral ceramidase
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3
ASB10	ankyrin repeat and SOCS box containing 10	Ankyrin repeat and SOCS box protein 10
ASB12	ankyrin repeat and SOCS box containing 12	Ankyrin repeat and SOCS box protein 12
ASB18	ankyrin repeat and SOCS box containing 18	Ankyrin repeat and SOCS box protein 18
ASB4	ankyrin repeat and SOCS box containing 4	Ankyrin repeat and SOCS box protein 4
ASB6	ankyrin repeat and SOCS box containing 6	Ankyrin repeat and SOCS box protein 6
ASB8	ankyrin repeat and SOCS box containing 8	Ankyrin repeat and SOCS box protein 8
ASCC2	activating signal cointegrator 1 complex subunit 2	Activating signal cointegrator 1 complex subunit 2
ASCC3	activating signal cointegrator 1 complex subunit 3	Activating signal cointegrator 1 complex subunit 3
ASCL1	achaete-scute family bHLH transcription factor 1	Achaete-scute homolog 1
ASCL5	achaete-scute family bHLH transcription factor 5	Achaete-scute homolog 5
ASF1A	anti-silencing function 1A histone chaperone	Histone chaperone ASF1A
ASIC2	acid sensing ion channel subunit 2	Acid-sensing ion channel 2
ASIC3	acid sensing ion channel subunit 3	Acid-sensing ion channel 3
ASNSD1	asparagine synthetase domain containing 1	Asparagine synthetase domain-containing protein 1
ASPHD2	aspartate beta-hydroxylase domain containing 2	Aspartate beta-hydroxylase domain-containing protein 2
ASS1	argininosuccinate synthase 1	Argininosuccinate synthase
ASTE1	asteroid structure-specific endonuclease 1	Single-strand DNA endonuclease ASTE1
ASTN2	astrotactin 2	Astrotactin-2
ASXL3	ASXL transcriptional regulator 3	Putative Polycomb group protein ASXL3
ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1
ATAD3A	ATPase family AAA domain containing 3A	ATPase family AAA domain-containing protein 3A
ATE1	arginyltransferase 1	Arginyl-tRNA--protein transferase 1
ATF1	activating transcription factor 1	Cyclic AMP-dependent transcription factor ATF-1
ATF6B	activating transcription factor 6 beta	Cyclic AMP-dependent transcription factor ATF-6 beta
ATF7	activating transcription factor 7	Cyclic AMP-dependent transcription factor ATF-7
ATF7IP	activating transcription factor 7 interacting protein	Activating transcription factor 7-interacting protein 1
ATG14	autophagy related 14	Beclin 1-associated autophagy-related key regulator
ATG16L1	autophagy related 16 like 1	Autophagy-related protein 16-1
ATG2B	autophagy related 2B	Autophagy-related protein 2 homolog B
ATG4A	autophagy related 4A cysteine peptidase	Cysteine protease ATG4A
ATG4B	autophagy related 4B cysteine peptidase	Cysteine protease ATG4B
ATG4D	autophagy related 4D cysteine peptidase	Cysteine protease ATG4D
ATMIN	ATM interactor	ATM interactor
ATOH1	atonal bHLH transcription factor 1	Transcription factor ATOH1
ATOSB	atos homolog B	Atos homolog protein B
ATOX1	antioxidant 1 copper chaperone	Copper transport protein ATOX1
ATP11A	ATPase phospholipid transporting 11A	Phospholipid-transporting ATPase IH
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	Potassium-transporting ATPase alpha chain 2
ATP13A4	ATPase 13A4	Probable cation-transporting ATPase 13A4
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	Sodium/potassium-transporting ATPase subunit alpha-1
ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	Mitochondrial inner membrane protease ATP23 homolog
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	Plasma membrane calcium-transporting ATPase 4
ATP2C1	ATPase secretory pathway Ca2+ transporting 1	Calcium-transporting ATPase type 2C member 1
ATP2C2	ATPase secretory pathway Ca2+ transporting 2	Calcium-transporting ATPase type 2C member 2
